Source,TestCaseID,File,Layer,Component,PriorityScore,Est,Owner,Jira/PR/SlackRef
Slack,E2E-UI-003,SLK-gen-8beba3bfd16f.md,UI,core,4,S,,gen-8beba3bfd16f
Slack,A11Y-UI-004,SLK-gen-8beba3bfd16f.md,UI,core,4,S,,gen-8beba3bfd16f
Slack,SLK-gen-8fdff21e2ba1,SLK-gen-8fdff21e2ba1.md,UI,core,4,S,,gen-8fdff21e2ba1
Slack,E2E-UI-001,SLK-gen-8fdff21e2ba1.md,UI,core,4,S,,gen-8fdff21e2ba1
Slack,E2E-UI-002,SLK-gen-8fdff21e2ba1.md,UI,core,4,S,,gen-8fdff21e2ba1
Slack,E2E-UI-003,SLK-gen-8fdff21e2ba1.md,UI,core,4,S,,gen-8fdff21e2ba1
Slack,A11Y-UI-004,SLK-gen-8fdff21e2ba1.md,UI,core,4,S,,gen-8fdff21e2ba1
Slack,SLK-gen-a8dca434506a,SLK-gen-a8dca434506a.md,UI,core,4,S,,gen-a8dca434506a
Slack,E2E-UI-001,SLK-gen-a8dca434506a.md,UI,core,4,S,,gen-a8dca434506a
Slack,E2E-UI-002,SLK-gen-a8dca434506a.md,UI,core,4,S,,gen-a8dca434506a
Slack,E2E-UI-003,SLK-gen-a8dca434506a.md,UI,core,4,S,,gen-a8dca434506a
Slack,A11Y-UI-004,SLK-gen-a8dca434506a.md,UI,core,4,S,,gen-a8dca434506a
Slack,SLK-gen-b113d8f5f7bb,SLK-gen-b113d8f5f7bb.md,UI,core,4,S,,gen-b113d8f5f7bb
Slack,E2E-UI-001,SLK-gen-b113d8f5f7bb.md,UI,core,4,S,,gen-b113d8f5f7bb
Slack,E2E-UI-002,SLK-gen-b113d8f5f7bb.md,UI,core,4,S,,gen-b113d8f5f7bb
Slack,E2E-UI-003,SLK-gen-b113d8f5f7bb.md,UI,core,4,S,,gen-b113d8f5f7bb
Slack,A11Y-UI-004,SLK-gen-b113d8f5f7bb.md,UI,core,4,S,,gen-b113d8f5f7bb
Slack,SLK-gen-b1a00932c9a8,SLK-gen-b1a00932c9a8.md,UI,core,4,S,,gen-b1a00932c9a8
Slack,E2E-UI-001,SLK-gen-b1a00932c9a8.md,UI,core,4,S,,gen-b1a00932c9a8
