thread_id,channel,first_seen_at,last_seen_at,message_count,jira_keys,pr_urls,sev,prod,action,digest
gen-e92d3895d047,integrator,2023-04-28 00:00:00,2023-04-28 00:00:00,1,,,,false,false,
gen-bb3d70e44930,integrator,2023-05-05 00:00:00,2023-05-05 00:00:00,1,,,,false,false,
gen-8d974115ba76,integrator,2023-05-08 00:00:00,2023-05-08 00:00:00,1,,,,false,false,
gen-1c2041b87f3f,io_qa_pm,2023-05-11 00:00:00,2023-05-11 00:00:00,1,,,,false,false,
gen-1cef774d2179,integrator,2023-05-11 00:00:00,2023-05-11 00:00:00,1,,,,false,false,
gen-5a2dcd501341,io_qa_pm,2023-05-11 00:00:00,2023-05-11 00:00:00,1,,,,false,false,
gen-8a4aae4e0001,integrator,2023-05-11 00:00:00,2023-05-11 00:00:00,1,,,,false,false,
gen-c20de05d922a,io_qa_pm,2023-05-11 00:00:00,2023-05-11 00:00:00,1,,,,false,false,
gen-31910a91daf4,io_qa_pm,2023-05-16 00:00:00,2023-05-16 00:00:00,1,,,,false,false,
gen-8fc1860616b9,integrator,2023-05-19 00:00:00,2023-05-19 00:00:00,1,,,,false,false,
gen-54190bfac6c5,integrator,2023-05-20 00:00:00,2023-05-20 00:00:00,1,,,,false,false,
gen-001a9b900d9d,integrator,2023-05-23 00:00:00,2023-05-23 00:00:00,1,,,,false,false,
gen-b08181d40fbc,io_qa_pm,2023-05-24 00:00:00,2023-05-24 00:00:00,1,,,,false,false,
gen-b2b5c10bd286,integrator,2023-05-24 00:00:00,2023-05-24 00:00:00,1,,,,false,false,
gen-e1251860575e,integrator,2023-05-24 00:00:00,2023-05-24 00:00:00,1,,,,false,false,
gen-2d5061e275d6,integrator,2023-05-25 00:00:00,2023-05-25 00:00:00,1,,,,false,false,
gen-fb2792315c48,integrator,2023-05-25 00:00:00,2023-05-25 00:00:00,1,,,,false,false,
gen-81eb8e00596f,integrator,2023-05-26 00:00:00,2023-05-26 00:00:00,1,,,,false,false,
gen-e6724e7f3d8b,integrator,2023-05-29 00:00:00,2023-05-29 00:00:00,1,,,,false,false,
gen-81ffaf2aae98,ui_ux,2023-05-30 00:00:00,2023-05-30 00:00:00,1,,,,false,false,
gen-6b97cfe5207c,ui_ux,2023-06-12 00:00:00,2023-06-12 00:00:00,1,,,,false,false,
gen-9c80cb349777,integrator,2023-06-13 00:00:00,2023-06-13 00:00:00,1,,,,false,false,
gen-ded8390630b5,integrator,2023-06-13 00:00:00,2023-06-13 00:00:00,1,,,,false,false,
gen-741994f4bda9,io_qa_pm,2023-06-15 00:00:00,2023-06-15 00:00:00,1,,,,false,false,
gen-b5863fd92a15,integrator,2023-06-16 00:00:00,2023-06-16 00:00:00,1,,,,false,false,
gen-725dc9e5041c,ui_ux,2023-06-17 00:00:00,2023-06-17 00:00:00,1,,,,false,false,
gen-73d7cd06116a,integrator,2023-06-19 00:00:00,2023-06-19 00:00:00,1,,,,false,false,
gen-4ce7bf6cb9a3,ui_ux,2023-06-21 00:00:00,2023-06-21 00:00:00,1,,,,false,false,
gen-5186d2c79325,integrator,2023-06-21 00:00:00,2023-06-21 00:00:00,1,,,,false,false,
gen-e53c1b535df7,ui_ux,2023-06-22 00:00:00,2023-06-22 00:00:00,1,,,,false,false,
gen-bb0ebe492f69,io_qa_pm,2023-06-27 00:00:00,2023-06-27 00:00:00,1,,,,false,false,
gen-3b3be1bcec89,integrator,2023-06-30 00:00:00,2023-06-30 00:00:00,1,,,,false,false,
gen-d54042fff6de,integrator,2023-06-30 00:00:00,2023-06-30 00:00:00,1,,,,false,false,
gen-592df118f82d,io_qa_pm,2023-07-01 00:00:00,2023-07-01 00:00:00,1,,,,false,false,
gen-4c4e4e77243a,integrator,2023-07-05 00:00:00,2023-07-05 00:00:00,1,,,,false,false,
gen-e48ae31e5bed,io_qa_pm,2023-07-06 00:00:00,2023-07-06 00:00:00,1,,,,false,false,
gen-fc323cad89b8,integrator,2023-07-07 00:00:00,2023-07-07 00:00:00,1,,,,false,false,
gen-01912b3a97da,io_qa_pm,2023-07-09 00:00:00,2023-07-09 00:00:00,1,,,,false,false,
gen-8f2531050e52,io_qa_pm,2023-07-09 00:00:00,2023-07-09 00:00:00,1,,,,false,false,
gen-49d2b1ff5a35,integrator,2023-07-11 00:00:00,2023-07-11 00:00:00,1,,,,false,false,
gen-08d39d0175b5,integrator,2023-07-13 00:00:00,2023-07-13 00:00:00,1,,,,false,false,
gen-50045421e408,integrator,2023-07-13 00:00:00,2023-07-13 00:00:00,1,,,,false,false,
gen-a45b701c21e2,integrator,2023-07-13 00:00:00,2023-07-13 00:00:00,1,,,,false,false,
gen-25156387ab5b,io_qa_pm,2023-07-15 00:00:00,2023-07-15 00:00:00,1,,,,false,false,
gen-480a84e57643,integrator,2023-07-15 00:00:00,2023-07-15 00:00:00,1,,,,false,false,
gen-34c4f37ff61e,io_qa_pm,2023-07-17 00:00:00,2023-07-17 00:00:00,1,,,,false,false,
gen-5daa692e5229,io_qa_pm,2023-07-17 00:00:00,2023-07-17 00:00:00,1,,,,false,false,
gen-739432b8ef08,integrator,2023-07-18 00:00:00,2023-07-18 00:00:00,1,,,,false,false,
gen-a47af2511dfd,io_qa_pm,2023-07-18 00:00:00,2023-07-18 00:00:00,1,,,,false,false,
gen-fa25d91da601,io_qa_pm,2023-07-20 00:00:00,2023-07-20 00:00:00,1,,,,false,false,
gen-0dff75a78778,io_qa_pm,2023-07-25 00:00:00,2023-07-25 00:00:00,1,,,,false,false,
gen-c3bd3acea080,io_qa_pm,2023-07-26 00:00:00,2023-07-26 00:00:00,1,,,,false,false,
gen-f98a0ac45081,io_qa_pm,2023-07-27 00:00:00,2023-07-27 00:00:00,1,,,,false,false,
gen-c8f1a57300f7,io_qa_pm,2023-07-28 00:00:00,2023-07-28 00:00:00,1,,,,false,false,
gen-ca17328bffe3,integrator,2023-07-29 00:00:00,2023-07-29 00:00:00,1,,,,false,false,
gen-bdbc0e7976da,integrator,2023-08-01 00:00:00,2023-08-01 00:00:00,1,,,,false,false,
gen-be74a5d78829,integrator,2023-08-01 00:00:00,2023-08-01 00:00:00,1,,,,false,false,
gen-3662ad44660d,integrator,2023-08-02 00:00:00,2023-08-02 00:00:00,1,,,,false,false,
gen-7f63bb03b9fd,integrator,2023-08-02 00:00:00,2023-08-02 00:00:00,1,,,,false,false,
gen-8c3577221d43,io_qa_pm,2023-08-02 00:00:00,2023-08-02 00:00:00,1,,,,false,false,
gen-b9f0e87eb644,io_qa_pm,2023-08-02 00:00:00,2023-08-02 00:00:00,1,,,,false,false,
gen-5fb503d684c7,io_qa_pm,2023-08-07 00:00:00,2023-08-07 00:00:00,1,,,,false,false,
gen-60f25b98c77f,io_qa_pm,2023-08-07 00:00:00,2023-08-07 00:00:00,1,,,,false,false,
gen-6484d982a4ae,io_qa_pm,2023-08-08 00:00:00,2023-08-08 00:00:00,1,,,,false,false,
gen-6e24ab15ab7f,integrator,2023-08-08 00:00:00,2023-08-08 00:00:00,1,,,,false,false,
gen-105efce70cc0,ui_ux,2023-08-11 00:00:00,2023-08-11 00:00:00,1,,,,false,false,
gen-b303c046c81f,ui_ux,2023-08-11 00:00:00,2023-08-11 00:00:00,1,,,,false,false,
gen-b053758f9af1,io_qa_pm,2023-08-15 00:00:00,2023-08-15 00:00:00,1,,,,false,false,
gen-7838749da6d0,io_qa_pm,2023-08-17 00:00:00,2023-08-17 00:00:00,1,,,,false,false,
gen-a1b168b7ef5e,io_qa_pm,2023-08-17 00:00:00,2023-08-17 00:00:00,1,,,,false,false,
gen-49405d485645,integrator,2023-08-19 00:00:00,2023-08-19 00:00:00,1,,,,false,false,
gen-92bd79c6c1fd,ui_ux,2023-08-19 00:00:00,2023-08-19 00:00:00,1,,,,false,false,
gen-2c728663067b,io_qa_pm,2023-08-20 00:00:00,2023-08-20 00:00:00,1,,,,false,false,
gen-af2ce09e8843,integrator,2023-08-23 00:00:00,2023-08-23 00:00:00,1,,,,false,false,
gen-7f069a494c47,ui_ux,2023-08-24 00:00:00,2023-08-24 00:00:00,1,,,,false,false,
gen-938a0dc9c4d0,integrator,2023-08-24 00:00:00,2023-08-24 00:00:00,1,,,,false,false,
gen-999efe469331,io_qa_pm,2023-08-24 00:00:00,2023-08-24 00:00:00,1,,,,false,false,
gen-49f3ba6fd32a,io_qa_pm,2023-08-25 00:00:00,2023-08-25 00:00:00,1,,,,false,false,
gen-88533b03229b,ui_ux,2023-08-28 00:00:00,2023-08-28 00:00:00,1,,,,false,false,
gen-ca25a880c196,integrator,2023-08-28 00:00:00,2023-08-28 00:00:00,1,,,,false,false,
gen-5d5ecc9eb84c,integrator,2023-08-29 00:00:00,2023-08-29 00:00:00,1,,,,false,false,
gen-760cccedb1a9,integrator,2023-08-30 00:00:00,2023-08-30 00:00:00,1,,,,false,false,
gen-a91144f022d3,io_qa_pm,2023-08-30 00:00:00,2023-08-30 00:00:00,1,,,,false,false,
gen-00a138f741ba,io_qa_pm,2023-09-01 00:00:00,2023-09-01 00:00:00,1,,,,false,false,
gen-5a300788ed79,io_qa_pm,2023-09-01 00:00:00,2023-09-01 00:00:00,1,,,,false,false,
gen-c71ab0d19e84,integrator,2023-09-01 00:00:00,2023-09-01 00:00:00,1,,,,false,false,
gen-e2389b2c33ea,io_qa_pm,2023-09-01 00:00:00,2023-09-01 00:00:00,1,,,,false,false,
gen-e434be282fae,io_qa_pm,2023-09-02 00:00:00,2023-09-02 00:00:00,1,,,,false,false,
gen-c39a2db158fd,ui_ux,2023-09-04 00:00:00,2023-09-04 00:00:00,1,,,,false,false,
gen-58c2ebd2f91b,ui_ux,2023-09-06 00:00:00,2023-09-06 00:00:00,1,,,,false,false,
gen-f3aa34ef15aa,integrator,2023-09-06 00:00:00,2023-09-06 00:00:00,1,,,,false,false,
gen-c046fbb445ec,integrator,2023-09-08 00:00:00,2023-09-08 00:00:00,1,,,,false,false,
gen-212f522d8056,integrator,2023-09-12 00:00:00,2023-09-12 00:00:00,1,,,,false,false,
gen-29d95f22cc61,io_qa_pm,2023-09-12 00:00:00,2023-09-12 00:00:00,1,,,,false,false,
gen-60623e4d5612,io_qa_pm,2023-09-14 00:00:00,2023-09-14 00:00:00,1,,,,false,false,
gen-c5c792ee2c11,io_qa_pm,2023-09-15 00:00:00,2023-09-15 00:00:00,1,,,,false,false,
gen-2b052c1a4ef8,io_qa_pm,2023-09-16 00:00:00,2023-09-16 00:00:00,1,,,,false,false,
gen-d37bece269b3,integrator,2023-09-18 00:00:00,2023-09-18 00:00:00,1,,,,false,false,
gen-2a006d437af6,io_qa_pm,2023-09-19 00:00:00,2023-09-19 00:00:00,1,,,,false,false,
gen-de854e1d391a,integrator,2023-09-19 00:00:00,2023-09-19 00:00:00,1,,,,false,false,
gen-e3c0b67eec3a,io_qa_pm,2023-09-20 00:00:00,2023-09-20 00:00:00,1,,,,false,false,
gen-773b081373f4,integrator,2023-09-22 00:00:00,2023-09-22 00:00:00,1,,,,false,false,
gen-eee1754986cb,io_qa_pm,2023-09-25 00:00:00,2023-09-25 00:00:00,1,,,,false,false,
gen-34d99505845e,io_qa_pm,2023-09-26 00:00:00,2023-09-26 00:00:00,1,,,,false,false,
gen-085a5801db22,integrator,2023-09-27 00:00:00,2023-09-27 00:00:00,1,,,,false,false,
gen-abceffe3beae,integrator,2023-09-27 00:00:00,2023-09-27 00:00:00,1,,,,false,false,
gen-adde53c65a65,io_qa_pm,2023-09-27 00:00:00,2023-09-27 00:00:00,1,,,,false,false,
gen-66d5c38b575c,integrator,2023-09-28 00:00:00,2023-09-28 00:00:00,1,,,,false,false,
gen-96b5e7552207,io_qa_pm,2023-09-29 00:00:00,2023-09-29 00:00:00,1,,,,false,false,
gen-5cdb2b31e147,io_qa_pm,2023-09-30 00:00:00,2023-09-30 00:00:00,1,,,,false,false,
gen-95b7faff927a,io_qa_pm,2023-10-01 00:00:00,2023-10-01 00:00:00,1,,,,false,false,
gen-5ca8b86e4d7f,integrator,2023-10-02 00:00:00,2023-10-02 00:00:00,1,,,,false,false,
gen-68603aaf17f3,ui_ux,2023-10-03 00:00:00,2023-10-03 00:00:00,1,,,,false,false,
gen-a8dd44ad559f,io_qa_pm,2023-10-03 00:00:00,2023-10-03 00:00:00,1,,,,false,false,
gen-c5fc583582a3,io_qa_pm,2023-10-03 00:00:00,2023-10-03 00:00:00,1,,,,false,false,
gen-c7c0cd1c87a5,io_qa_pm,2023-10-05 00:00:00,2023-10-05 00:00:00,1,,,,false,false,
gen-386d81d07b20,io_qa_pm,2023-10-06 00:00:00,2023-10-06 00:00:00,1,,,,false,false,
gen-00a5761192ce,ui_ux,2023-10-07 00:00:00,2023-10-07 00:00:00,1,,,,false,false,
gen-1938cdd2ba31,io_qa_pm,2023-10-07 00:00:00,2023-10-07 00:00:00,1,,,,false,false,
gen-0c02276b48bb,integrator,2023-10-09 00:00:00,2023-10-09 00:00:00,1,,,,false,false,
gen-5a6aa90115d4,io_qa_pm,2023-10-09 00:00:00,2023-10-09 00:00:00,1,,,,false,false,
gen-f3b48152190e,io_qa_pm,2023-10-09 00:00:00,2023-10-09 00:00:00,1,,,,false,false,
gen-928f4d8585e4,io_qa_pm,2023-10-10 00:00:00,2023-10-10 00:00:00,1,,,,false,false,
